Name,Domain,Language,Modality,GitHub,HuggingFace,PapersWithCode,AI2,Self-hosted,#Leaderboards by categories,#Empty leaderboards by category,%Empty leaderboard rate,#Submission,#Model,#Scenario,#Benchmark,#metrics,Last update,Evalution harness
RefCOCO,language+visual,English,text+image,no,no,yes,no,no,1,0,0,13,13,3,1,1,today,
ReForm-Eval,language+visual,English,text+image,yes,no,no,no,no,1,0,0,16,16,2,1,2,11//2023,
RTE,language,English,text,no,no,yes,no,no,2,0,0,56,,1,1,1,today,
Safety-Prompts,language,Chinese,text,no,no,no,no,yes,2,0,0,20,15,16,1,1,3//2023,
SafetyBench,language,English+Chinese,text,no,no,no,no,yes,3,0,0,49,20,7,1,1,today,
ScienceQA,language+visual,English,text+image,yes,no,yes,no,no,2,0,0,30,,8,1,1,today,
SEED-Bench,language+visual,English,text+image,no,yes,no,no,no,1,0,0,36,34,12,1,1,11//2023,
Sherlock,language+visual,English,text+image,no,no,no,yes,no,1,0,0,96,96,1,1,6,today,
SIQA,language,English,text,no,no,yes,yes,no,2,0,0,127,,1,1,1,today,
Spider,programming,English,text+code,yes,no,yes,no,no,4,0,0,133,,2,1,2,today,
StrategyQA,language,English,text,no,no,yes,yes,no,2,0,0,189,189,1,1,3,today,
SuperCLUE,language,Chinese,text,yes,no,no,no,yes,14,0,0,287,21,10,1,1,10//2023,
SuperCLUE-Agent,language+agent,Chinese,text,yes,no,no,no,yes,5,0,0,85,17,10,1,1,11//2023,
SuperCLUE-Safety,language,Chinese,text,yes,no,no,no,yes,6,0,0,78,14,3,1,1,10//2023,
SuperGLUE,language,English,text,no,no,no,no,yes,1,0,0,33,33,10,10,5,today,
The Pile,language,English,text,no,no,yes,no,no,1,0,0,6,6,1,1,1,today,
LLM Benchmarker Suite,language,English,text,yes,no,no,no,yes,1,0,0,8,8,11,11,1,today,
TheoremQA,language,English,text,yes,no,yes,no,no,1,0,0,21,16,1,1,1,8//2023,
Toloka LLM Leaderboard,language,English,text,no,yes,no,no,yes,1,0,0,6,6,5,1,2,today,
Toolbench,language+agent,English,text,no,yes,no,no,no,1,0,0,44,44,9,1,1,11//2023,
TriviaQA,language,English,text,no,no,yes,no,no,2,0,0,40,40,1,1,3,today,
TruthfulQA,language,English,text,yes,no,yes,no,no,1,0,0,26,26,2,1,7,today,
TyDiQA,language,11,text,no,no,yes,no,no,2,0,0,13,,3,1,3,today,
Hallucination Leaderboard,language,English,text,yes,no,no,no,no,1,0,0,12,12,1,1,4,11//2023,
VisDial,visual,English,text+image,no,no,yes,no,no,1,0,0,2,2,3,1,1,today,
VQA,visual,English,text+image,no,no,yes,no,no,5,0,0,115,,1,1,1,today,
Whoops,visual,English,text+image,no,no,yes,no,no,4,0,0,23,,1,1,6,today,
WiC,language,English,text,no,no,yes,no,no,1,0,0,2,2,1,1,1,today,
WikiEvents,language,English,text,no,no,yes,no,no,1,0,0,4,4,6,1,2,today,
WinoGrande,language,English,text,no,no,yes,yes,no,3,0,0,95,,5,1,2,today,
Winoground,visual,English,text+image,no,no,yes,no,no,1,0,0,8,8,3,1,1,today,
WQSP,language,English,text,no,no,yes,no,no,1,0,0,21,21,1,1,2,today,
WSC,language,English,text,no,no,yes,no,no,2,0,0,14,,1,1,1,today,
Xiezhi,language,English+Chinese,text,yes,no,no,no,no,1,0,0,106,47,12,1,1,today,
XNLI,language,15,text,no,no,yes,no,no,1,0,0,5,5,1,1,1,today,
XSUM,language,English,text,no,no,yes,yes,no,2,0,0,24,24,4,1,9,today,
SQuAD,language,English,text,no,no,yes,no,no,2,0,0,66,,1,1,5,today,
CoQA,language,English,text,no,no,yes,no,no,1,0,0,9,9,2,1,1,today,
KoLA,language,English,text,no,no,yes,no,no,18,0,0,174,19,4,19,3,10//2023,
QASC,language,English,text,no,no,no,yes,no,1,0,0,16,16,1,1,1,today,
MNLI,language,English,text,no,no,yes,no,no,2,0,0,49,49,2,1,1,today,
LogiQA,language,English,text,no,no,yes,no,no,1,0,0,2,2,1,1,1,today,
SVAMP,language,English,text,no,no,yes,no,no,1,0,0,20,20,1,1,2,today,
VNHSGE,language,English,text,no,no,yes,no,no,9,0,0,19,3,1,1,1,today,
