Leaderboard,Modality,Language,#Leaderboards by categories,#Empty leaderboards by category,#Benchmark,#Metrics,Evalution harness,#Submission,#Model,#Scenario,Last update,Source
Robust04,text,English,1,0,1.0,3,,21,21.0,1,today,PapersWithCode
RTE,text,English,2,0,1.0,1,,56,,1,today,PapersWithCode
Safety-Prompts,text,Chinese,2,0,1.0,1,,20,15.0,16,3/26/2023,Self-hosted
SafetyBench,text,"English,Chinese",3,0,1.0,1,,49,20.0,7,today,Self-hosted
ScienceQA,image,English,2,0,1.0,1,,30,,8,today,GitHub
ScienceQA,image,English,2,0,1.0,1,,30,,8,today,PapersWithCode
SEED-Bench,image,English,1,0,1.0,1,,36,34.0,12,11/21/2023,HuggingFace
Sherlock,image,English,1,0,1.0,6,,96,96.0,1,today,AI2
SIQA,text,English,2,0,1.0,1,,127,,1,today,PapersWithCode
SIQA,text,English,2,0,1.0,1,,127,,1,today,AI2
Spider,code,English,4,0,1.0,2,,133,,2,today,GitHub
Spider,code,English,4,0,1.0,2,,133,,2,today,PapersWithCode
SQuAD,text,English,2,0,1.0,5,,66,,1,today,PapersWithCode
STAR,video,English,2,0,1.0,1,,25,25.0,4,today,PapersWithCode
STAR,video,English,2,0,1.0,1,,25,25.0,4,today,Self-hosted
StereoSet,text,English,1,0,1.0,3,,11,11.0,1,today,PapersWithCode
StrategyQA,text,English,2,0,1.0,3,,189,189.0,1,today,PapersWithCode
StrategyQA,text,English,2,0,1.0,3,,189,189.0,1,today,AI2
SuperCLUE,text,Chinese,14,0,1.0,1,,287,21.0,10,10/25/2023,GitHub
SuperCLUE,text,Chinese,14,0,1.0,1,,287,21.0,10,10/25/2023,Self-hosted
SuperCLUE-Agent,text,Chinese,5,0,1.0,1,,85,17.0,10,11/8/2023,GitHub
SuperCLUE-Agent,text,Chinese,5,0,1.0,1,,85,17.0,10,11/8/2023,Self-hosted
SuperCLUE-Safety,text,Chinese,6,0,1.0,1,,78,14.0,3,10/19/2023,GitHub
SuperCLUE-Safety,text,Chinese,6,0,1.0,1,,78,14.0,3,10/19/2023,Self-hosted
SuperGLUE,text,English,1,0,10.0,5,,33,33.0,10,today,Self-hosted
SVAMP,text,English,1,0,1.0,2,,20,20.0,1,today,PapersWithCode
TGIF-QA,video,English,2,0,1.0,2,,20,19.0,1,today,PapersWithCode
The Pile,text,English,1,0,1.0,1,,6,6.0,1,today,PapersWithCode
TheoremQA,text,English,1,0,1.0,1,,21,16.0,1,8/29/2023,GitHub
TheoremQA,text,English,1,0,1.0,1,,21,16.0,1,8/29/2023,PapersWithCode
Toloka LLM Leaderboard,text,English,1,0,1.0,2,,6,6.0,5,today,HuggingFace
Toloka LLM Leaderboard,text,English,1,0,1.0,2,,6,6.0,5,today,Self-hosted
Toolbench,text,English,1,0,1.0,1,toolbench,44,44.0,9,11/13/2023,HuggingFace
TREC-COVID,text,English,1,0,1.0,1,,6,6.0,1,today,PapersWithCode
TriviaQA,text,English,2,0,1.0,3,,40,40.0,1,today,PapersWithCode
TruthfulQA,text,English,1,0,1.0,7,,26,26.0,2,today,GitHub
TruthfulQA,text,English,1,0,1.0,7,,26,26.0,2,today,PapersWithCode
TVQA,video,English,1,0,1.0,1,,6,6.0,1,today,PapersWithCode
TyDiQA,text,"English,Arabic,Bengali,Finnish,Japanese,Indonesian,Kiswahili,Korean,Russian,Telugu,Thai",2,0,1.0,3,,13,,3,today,PapersWithCode
UHGEval,text,English,3,0,1.0,14,,33,11.0,7,today,GitHub
Video-Bench,video,English,1,0,13.0,1,,10,8.0,3,12/1/2023,HuggingFace
VisDial,image,English,1,0,1.0,1,,2,2.0,3,today,PapersWithCode
VNHSGE,text,English,9,0,1.0,1,,19,3.0,1,today,PapersWithCode
VQA,image,English,5,0,1.0,1,,115,,1,today,PapersWithCode
Whoops,image,English,4,0,1.0,6,,23,,1,today,PapersWithCode
WiC,text,English,1,0,1.0,1,,2,2.0,1,today,PapersWithCode
WikiEvents,text,English,1,0,1.0,2,,4,4.0,6,today,PapersWithCode
WinoGrande,text,English,3,0,1.0,2,,95,,5,today,PapersWithCode
WinoGrande,text,English,3,0,1.0,2,,95,,5,today,AI2
Winoground,image,English,1,0,1.0,1,,8,8.0,3,today,PapersWithCode
WNLI,text,English,2,0,1.0,1,,16,16.0,1,today,PapersWithCode
WQSP,text,English,1,0,1.0,2,,21,21.0,1,today,PapersWithCode
WSC,text,English,2,0,1.0,1,,14,,1,today,PapersWithCode
Xiezhi,text,"English,Chinese",1,0,1.0,1,,106,47.0,12,today,GitHub
XNLI,text,"English,French,Spanish,German,Greek,Bulgarian,Russian,Turkish,Arabic,Vietnamese,Thai,Chinese,Hindi,Swahili,Urdu",1,0,1.0,1,,5,5.0,1,today,PapersWithCode
XSUM,text,English,2,0,1.0,9,,24,24.0,4,today,PapersWithCode
XSUM,text,English,2,0,1.0,9,,24,24.0,4,today,AI2
YouCook2,video,English,2,0,1.0,10,,25,,2,today,PapersWithCode
