Leaderboard,Modality,Language,GitHub,HuggingFace,PapersWithCode,AI2,Self-hosted,#Leaderboards by categories,#Empty leaderboards by category,#Benchmark,#Metrics,Evalution harness,#Submission,#Model,#Scenario,Last update
QuAC,text,English,no,no,yes,no,no,1,0,1,1,,2,2,1,today
QuALITY,text,English,yes,no,no,no,no,1,0,1,2,,14,13,2,11/14/2023
RACE,text,English,no,no,yes,no,no,2,0,1,1,,23,23,2,today
RAFT,text,English,no,no,yes,no,no,1,0,1,1,,9,9,11,today
ReCoRD,text,English,no,no,yes,no,no,1,0,1,2,,30,30,1,today
RefCOCO,image,English,no,no,yes,no,no,1,0,1,1,,13,13,3,today
ReForm-Eval,image,English,yes,no,no,no,no,1,0,41,2,,16,16,2,11/17/2023
Robust04,text,English,no,no,yes,no,no,1,0,1,3,,21,21,1,today
RTE,text,English,no,no,yes,no,no,2,0,1,1,,56,,1,today
Safety-Prompts,text,Chinese,no,no,no,no,yes,2,0,1,1,,20,15,16,3/26/2023
SafetyBench,text,"English,Chinese",no,no,no,no,yes,3,0,1,1,,49,20,7,today
ScienceQA,image,English,yes,no,yes,no,no,2,0,1,1,,30,,8,today
SEED-Bench,image,English,no,yes,no,no,no,1,0,1,1,,36,34,12,11/21/2023
Sherlock,image,English,no,no,no,yes,no,1,0,1,6,,96,96,1,today
SIQA,text,English,no,no,yes,yes,no,2,0,1,1,,127,,1,today
Spider,code,English,yes,no,yes,no,no,4,0,1,2,,133,,2,today
SQuAD,text,English,no,no,yes,no,no,2,0,1,5,,66,,1,today
STAR,video,English,no,no,yes,no,yes,2,0,1,1,,25,25,4,today
StereoSet,text,English,no,no,yes,no,no,1,0,1,3,,11,11,1,today
StrategyQA,text,English,no,no,yes,yes,no,2,0,1,3,,189,189,1,today
SuperCLUE,text,Chinese,yes,no,no,no,yes,14,0,1,1,,287,21,10,10/25/2023
SuperCLUE-Agent,text,Chinese,yes,no,no,no,yes,5,0,1,1,,85,17,10,11/8/2023
SuperCLUE-Safety,text,Chinese,yes,no,no,no,yes,6,0,1,1,,78,14,3,10/19/2023
SuperGLUE,text,English,no,no,no,no,yes,1,0,10,5,,33,33,10,today
SVAMP,text,English,no,no,yes,no,no,1,0,1,2,,20,20,1,today
TGIF-QA,video,English,no,no,yes,no,no,2,0,1,2,,20,19,1,today
The Pile,text,English,no,no,yes,no,no,1,0,1,1,,6,6,1,today
TheoremQA,text,English,yes,no,yes,no,no,1,0,1,1,,21,16,1,8/29/2023
Toloka LLM Leaderboard,text,English,no,yes,no,no,yes,1,0,1,2,,6,6,5,today
Toolbench,text,English,no,yes,no,no,no,1,0,1,1,toolbench,44,44,9,11/13/2023
TREC-COVID,text,English,no,no,yes,no,no,1,0,1,1,,6,6,1,today
TriviaQA,text,English,no,no,yes,no,no,2,0,1,3,,40,40,1,today
TruthfulQA,text,English,yes,no,yes,no,no,1,0,1,7,,26,26,2,today
